country,points,price,province
Italy,87,,Sicily & Sardinia
Portugal,87,15,Douro
US,87,14,Oregon
US,87,13,Michigan
US,87,65,Oregon
Spain,87,15,Northern Spain
Italy,87,16,Sicily & Sardinia
France,87,24,Alsace
Germany,87,12,Rheinhessen
France,87,27,Alsace
US,87,19,California
France,87,30,Alsace
US,87,34,California
Italy,87,,Sicily & Sardinia
US,87,12,California
Germany,87,24,Mosel
Argentina,87,30,Other
Argentina,87,13,Mendoza Province
Spain,87,28,Northern Spain
US,87,32,Virginia
US,87,23,Virginia
US,87,20,Oregon
Italy,87,19,Sicily & Sardinia
US,87,22,California
Italy,87,35,Sicily & Sardinia
US,87,69,California
Italy,87,13,Sicily & Sardinia
Italy,87,10,Sicily & Sardinia
Italy,87,17,Sicily & Sardinia
US,86,16,California
France,86,,Beaujolais
Italy,86,,Sicily & Sardinia
Italy,86,,Sicily & Sardinia
US,86,50,California
US,86,20,California
US,86,50,Oregon
Chile,86,15,Colchagua Valley
Italy,86,21,Sicily & Sardinia
Italy,86,11,Southern Italy
Italy,86,12,Sicily & Sardinia
Italy,86,17,Sicily & Sardinia
US,86,22,Oregon
France,86,9,Beaujolais
US,86,14,California
Chile,86,9,Maule Valley
US,86,40,Virginia
Italy,86,13,Sicily & Sardinia
US,86,13,California
US,86,16,Virginia
France,86,14,Beaujolais
Italy,86,,Sicily & Sardinia
Chile,85,22,Colchagua Valley
Italy,85,14,Sicily & Sardinia
France,85,15,Bordeaux
Italy,85,,Sicily & Sardinia
US,85,30,California
US,85,14,California
Italy,85,13,Sicily & Sardinia
Chile,85,13,Maipo Valley
US,86,55,Washington
US,86,100,California
Italy,86,17,Central Italy
US,86,25,Washington
France,86,58,Champagne
US,86,26,California
France,86,24,Burgundy
France,86,15,Burgundy
US,86,46,Washington
US,86,12,California
France,86,55,Champagne
US,86,12,Washington
US,86,40,California
Italy,86,32,Southern Italy
US,86,75,California
US,86,55,California
US,86,75,California
Germany,86,9,Rheinhessen
Australia,86,18,South Australia
US,86,25,Oregon
Portugal,86,,Tejo
Chile,86,12,Rapel Valley
Spain,86,16,Galicia
France,86,11,France Other
Australia,86,20,South Australia
US,86,24,California
Germany,86,10,Rheinhessen
US,86,20,Washington
US,86,55,California
Italy,86,29,Tuscany
Italy,88,19,Tuscany
US,88,23,California
US,88,18,California
US,88,55,California
Austria,88,12,Burgenland
US,88,22,Washington
France,88,20,Beaujolais
France,88,18,Beaujolais
US,88,20,New York
Italy,88,30,Tuscany
US,88,75,California
US,88,18,New York
US,87,20,New York
US,87,20,New York
Chile,87,18,Leyda Valley
Italy,87,16,Tuscany
Italy,87,14,Tuscany
Italy,87,30,Tuscany
Italy,87,18,Tuscany
US,87,26,California
Italy,87,30,Tuscany
France,87,23,Beaujolais
US,87,85,California
Italy,87,15,Tuscany
Italy,87,19,Tuscany
US,87,18,California
US,87,18,California
US,87,25,California
US,87,44,California
Italy,87,80,Tuscany
France,92,80,Alsace
Italy,92,70,Piedmont
US,92,36,California
US,92,39,California
Australia,92,40,South Australia
US,92,45,California
South Africa,91,45,Stellenbosch
France,91,48,Alsace
France,91,13,Alsace
France,91,17,Alsace
South Africa,91,25,Stellenbosch
Italy,91,70,Piedmont
France,91,20,Alsace
South Africa,91,30,Simonsberg-Stellenbosch
Italy,91,68,Piedmont
US,91,78,California
Italy,91,60,Piedmont
France,91,50,Bordeaux
South Africa,90,,Walker Bay
France,90,10,Alsace
France,90,112,Alsace
Italy,90,26,Piedmont
Italy,90,45,Piedmont
US,90,17,California
France,90,84,Alsace
US,91,85,California
US,91,64,California
US,91,68,California
US,91,68,California
Germany,91,16,Rheinhessen
US,91,35,California
US,91,25,California
Portugal,91,30,Alentejano
US,91,55,California
US,91,46,California
Spain,91,50,Central Spain
US,91,36,California
Germany,91,14,Mosel
Portugal,91,26,Alentejano
Italy,91,38,Tuscany
Italy,91,,Tuscany
France,91,35,Southwest France
US,91,35,California
US,91,28,California
France,91,,Beaujolais
Chile,91,29,Aconcagua Valley
Chile,91,32,Maipo Valley
France,91,25,Southwest France
US,91,28,California
US,91,95,California
US,91,44,California
Germany,91,30,Mosel
Germany,91,22,Mosel
Chile,91,20,Loncomilla Valley
US,91,38,Oregon
New Zealand,88,19,Marlborough
Italy,88,25,Northeastern Italy
Chile,88,50,Maipo Valley
Italy,88,22,Tuscany
US,88,25,California
France,88,27,Burgundy
